,epoch,train_epochs_loss,train_epochs_acc,val_epochs_loss,val_epochs_acc
0,0,0.5121439308235326,0.7676484907497566,0.41954472202521104,0.8426346528228423
1,1,0.39802142086717274,0.8333333333333334,0.3791064046896421,0.853990914990266
2,2,0.36285904019149307,0.8470058422590068,0.33878538471001846,0.8604802076573653
3,3,0.3479756408745481,0.8532538136968517,0.3395178776520949,0.8646982478909799
4,4,0.338401651874031,0.8564589419019799,0.30451820160333926,0.8650227125243348
5,5,0.334712947459565,0.8565400843881856,0.30552022273723894,0.8666450356911096
6,6,0.33131957238482446,0.8588120740019474,0.3102504060818599,0.8698896820246593
7,7,0.328270176636804,0.8602726387536515,0.3008051755336615,0.8679428942245295
8,8,0.32309445370103895,0.8636400519311912,0.3255065633700444,0.8695652173913043
9,9,0.3225775179789238,0.8609217786432977,0.3076620789674612,0.8698896820246593
10,10,0.3168015550706804,0.8648977604673808,0.30372211795586807,0.872485399091499
11,11,0.3146503174427858,0.8656280428432327,0.3347298434147468,0.8708630759247242
12,12,0.313812852059443,0.8672103213242454,0.3446328662908994,0.8718364698247891
13,13,0.31360665209514577,0.8668857513794223,0.32476353645324707,0.8718364698247891
14,14,0.31178386985641166,0.8672914638104512,0.29398087698679704,0.8731343283582089
15,15,0.3097239545325643,0.8678188899707887,0.2848250224040105,0.8715120051914341
16,16,0.3089276997698951,0.86769717624148,0.30306142568588257,0.8702141466580143
17,17,0.3100707848969194,0.8667640376501136,0.2932108503121596,0.8737832576249189
18,18,0.30609167774313506,0.8687114573190523,0.2982740058348729,0.8737832576249189
19,19,0.30318006166477796,0.8706994482310938,0.2881489120996915,0.8741077222582738
20,20,0.30468982734631017,0.8696040246673158,0.3158017855424147,0.872485399091499
21,21,0.3037341946793586,0.8687520285621552,0.2899021368760329,0.872809863724854
22,22,0.30070758572558764,0.8706994482310938,0.28502628665703994,0.8731343283582089
23,23,0.30100890610021414,0.8719977280103862,0.297848988037843,0.8741077222582738
24,24,0.29886710920284704,0.8706588769879909,0.2886937982760943,0.8767034393251135
25,25,0.2989999455274995,0.8715920155793574,0.3351837969743289,0.8767034393251135
26,26,0.2984481784179039,0.8719977280103862,0.3071144406612103,0.8737832576249189
27,27,0.29764092122156594,0.8727280103862383,0.33323874611120957,0.8763789746917586
28,28,0.2951301577472195,0.875730282375852,0.3056567655159877,0.8783257624918884
29,29,0.29647939429455195,0.8727685816293411,0.28715623227449566,0.8760545100584036
30,30,0.2937467818714909,0.8732960077896786,0.2772713558605084,0.8750811161583387
31,31,0.2945903303082456,0.8726468679000324,0.2939076182933954,0.8773523685918235
32,32,0.2912065770822702,0.8762577085361896,0.28736623090047103,0.8780012978585334
33,33,0.290811990032491,0.876095423563778,0.27786229063685125,0.8763789746917586
34,34,0.2915418562815361,0.8758114248620578,0.30684100549954635,0.8786502271252433
35,35,0.288818711626161,0.877921129503408,0.30052254979427045,0.8786502271252433
36,36,0.29196648330418107,0.8745942875689711,0.27748350971020186,0.8792991563919533
37,37,0.2896589590716608,0.8745537163258682,0.2862442261897601,0.8773523685918235
38,38,0.29046761805249244,0.8762982797792924,0.28089257845511806,0.8783257624918884
39,39,0.2892039146312733,0.8729714378448555,0.29550228325220257,0.8773523685918235
40,40,0.28572498338738667,0.8792599805258033,0.28981681970449596,0.8757300454250486
41,41,0.28619088831636097,0.8773125608568647,0.3027603030204773,0.8799480856586632
42,42,0.2845425180245921,0.8783268419344369,0.31141789372150713,0.8805970149253731
43,43,0.28627832418250054,0.8757708536189549,0.28389092821341294,0.8773523685918235
44,44,0.28491266240778657,0.8790976955533918,0.29782751546456265,0.8799480856586632
45,45,0.28385601722702536,0.8785702693930542,0.2778947508105865,0.8773523685918235
46,46,0.2863904191661127,0.8778805582603051,0.287921762237182,0.8799480856586632
47,47,0.28177310050148324,0.8785702693930542,0.28931814661392796,0.8783257624918884
48,48,0.2811952574351399,0.8785296981499513,0.299986685697849,0.881894873458793
49,49,0.2836052405158269,0.87865141187926,0.2760864570736885,0.8780012978585334
50,50,0.2798368182686186,0.8793005517689062,0.2775131802146251,0.8805970149253731
51,51,0.27907115113489406,0.87865141187926,0.29216783665693724,0.881894873458793
52,52,0.2778308913879788,0.8802336903602727,0.28004418084254634,0.881245944192083
53,53,0.28054581014151425,0.8803959753326842,0.2934715977081886,0.8799480856586632
54,54,0.27803424692031037,0.8805988315481986,0.2898815881747466,0.8822193380921479
55,55,0.27780429834557563,0.8811668289516391,0.285423674262487,0.8796236210253082
56,56,0.2779470370295121,0.8824651087309315,0.27554293206104863,0.8825438027255029
