index,D
0,1.7666165083646774
1,1.7710746377706528
2,1.7027346938848495
3,1.6332805454730988
4,1.6158751398324966
5,1.6229352205991745
6,1.5758003741502762
7,1.5586345344781876
8,1.5029534846544266
9,1.504961758852005
10,1.5751452445983887
11,1.551736056804657
12,1.4958700686693192
13,1.5355501621961594
14,1.6709557920694351
15,1.52818863093853
16,1.524265170097351
17,1.5122471302747726
18,1.5123245567083359
19,1.475371778011322
20,1.5689116567373276
21,1.5231518298387527
22,1.4939772486686707
23,1.5324872136116028
24,1.461497962474823
25,1.4439040571451187
26,1.477084293961525
27,1.4358759969472885
28,1.4623177349567413
29,1.4606505632400513
30,1.4521816968917847
31,1.4559787511825562
32,1.3854862600564957
33,1.3914311081171036
34,1.4101030975580215
35,1.4718072563409805
36,1.4186035841703415
37,1.3807486593723297
38,1.407628208398819
39,1.3877069652080536
40,1.4608985930681229
41,1.4709389358758926
42,1.4304958283901215
43,1.4086121916770935
44,1.3653360307216644
45,1.382766917347908
46,1.349710538983345
47,1.4074307829141617
48,1.3366459608078003
49,1.4265343099832535
50,1.4075755327939987
51,1.4118004739284515
52,1.3895121365785599
53,1.3898293375968933
54,1.4011178016662598
55,1.3656981438398361
56,1.3280246704816818
57,1.3016094118356705
58,1.3143527805805206
59,1.3124074786901474
60,1.2745861411094666
61,1.1959632486104965
62,1.2304739356040955
63,1.2389492094516754
64,1.2391261458396912
65,1.3026558756828308
66,1.2752990424633026
67,1.299825370311737
68,1.293382927775383
69,1.2457471936941147
70,1.2312826812267303
71,1.2327469438314438
72,1.2456314414739609
73,1.183596357703209
74,1.1510125547647476
75,1.2555820047855377
76,1.2919194996356964
77,1.2751079201698303
78,1.266946792602539
79,1.2322290539741516
80,1.2404144406318665
81,1.231242522597313
82,1.1732139065861702
83,1.2087801396846771
84,1.2344496548175812
85,1.2184762954711914
86,1.1863961070775986
87,1.2180170118808746
88,1.1648088991641998
89,1.1942321807146072
90,1.1762547343969345
91,1.1434347033500671
92,1.1497656553983688
93,1.143727220594883
94,1.131816953420639
95,1.1791247874498367
96,1.1976584047079086
97,1.1828357130289078
98,1.2137381732463837
99,1.1404463052749634
100,1.1697500497102737
101,1.1741888225078583
102,1.1523049622774124
103,1.132061943411827
104,1.1750012934207916
105,1.1659536063671112
106,1.190728560090065
107,1.176549643278122
108,1.1315670758485794
109,1.1863508075475693
110,1.1282184273004532
111,1.1463977694511414
112,1.1852899938821793
113,1.109120324254036
114,1.144315853714943
115,1.1773030161857605
116,1.1489474177360535
117,1.106305256485939
118,1.1232401877641678
119,1.149695247411728
120,1.1566330343484879
121,1.1449203491210938
122,1.1401259079575539
123,1.1025375574827194
124,1.1030568778514862
125,1.0541037172079086
126,1.07137793302536
127,1.0818179994821548
128,1.1023432537913322
129,1.1340621709823608
130,1.0478848591446877
131,1.0982285737991333
132,1.0631130039691925
133,1.0605174377560616
134,1.073638215661049
135,1.0724794492125511
136,1.0678557306528091
137,1.0294933691620827
138,1.0628491938114166
139,1.0251444354653358
140,0.978369913995266
141,1.007851056754589
142,0.9793621748685837
143,0.9878792762756348
144,0.9824540838599205
145,1.0474489331245422
146,0.9904110282659531
147,1.017370492219925
148,0.9794788584113121
149,0.977469302713871
150,1.0008779764175415
151,0.9877099320292473
152,1.0172139331698418
153,1.0216605812311172
154,0.9874814301729202
155,0.9332649633288383
156,0.9748137220740318
157,0.9688088372349739
158,0.9791980758309364
159,0.9801522344350815
160,0.9983036071062088
161,0.9834280908107758
162,0.9667800888419151
163,0.9801827222108841
164,0.960615299642086
165,0.9454248324036598
166,0.9481910988688469
167,0.9178498089313507
168,0.9325169175863266
169,0.9344643801450729
170,0.9532662555575371
171,0.9547099694609642
172,0.9764634370803833
173,0.967003583908081
174,0.9841260984539986
175,0.9731733575463295
176,0.9620087817311287
177,0.9786830842494965
178,0.955540806055069
179,0.9824104905128479
180,0.9383871257305145
181,0.9269693270325661
182,0.9495585113763809
183,0.9324079304933548
184,0.9338394850492477
185,1.003139391541481
186,0.9406713098287582
187,0.9130207076668739
188,0.9378439113497734
189,0.8996054977178574
190,0.954998642206192
191,0.9568395987153053
192,0.9883178919553757
193,0.9428767189383507
194,0.9140385761857033
195,0.9017927348613739
196,0.9431387633085251
197,0.913030281662941
198,0.9204028472304344
199,0.9054083377122879
200,0.934097595512867
201,0.9199250414967537
202,0.9001515507698059
203,0.9178445786237717
204,0.9109169542789459
205,0.8834416717290878
206,0.855207048356533
207,0.8876447305083275
208,0.8885181695222855
209,0.8858326599001884
210,0.8843214586377144
211,0.897106483578682
212,0.8999121487140656
213,0.877258688211441
214,0.9039739966392517
215,0.8854475766420364
216,0.8639597147703171
217,0.88505470007658
218,0.869141697883606
219,0.8384223654866219
220,0.8898841887712479
221,0.9105094596743584
222,0.8858474716544151
223,0.8851162195205688
224,0.9028894305229187
225,0.8515294641256332
226,0.8826368302106857
227,0.822204202413559
228,0.8653436005115509
229,0.8337496519088745
230,0.8475165367126465
231,0.8693581596016884
232,0.8427048176527023
233,0.8414059057831764
234,0.8577577024698257
235,0.8453498184680939
236,0.8169827684760094
237,0.837020993232727
238,0.8672537133097649
239,0.8623248785734177
240,0.8482574597001076
241,0.8303231969475746
242,0.8415673971176147
243,0.8233025595545769
244,0.8133630678057671
245,0.8339138999581337
246,0.8351142704486847
247,0.8360099345445633
248,0.8279567584395409
249,0.8350561931729317
250,0.7978633269667625
251,0.8142345696687698
252,0.7893665507435799
253,0.7933045923709869
254,0.7841081693768501
255,0.8086123093962669
256,0.8206217363476753
257,0.8217542842030525
258,0.8174507096409798
259,0.8323639780282974
260,0.8131601214408875
261,0.8191065490245819
262,0.8162618651986122
263,0.8074386045336723
264,0.8001449853181839
265,0.8071122989058495
266,0.7911740317940712
267,0.7944675907492638
268,0.8034924492239952
269,0.7901516258716583
270,0.8120892196893692
271,0.8350943699479103
272,0.8097699657082558
273,0.8248441368341446
274,0.8170722275972366
275,0.8052271008491516
276,0.8104406371712685
277,0.8080579712986946
278,0.7983610406517982
279,0.8083752766251564
280,0.7943370044231415
281,0.8071764633059502
282,0.7969780713319778
283,0.7970290780067444
284,0.8011879995465279
285,0.8350959718227386
