index,total_lossess
0,3.0206248399077866
1,2.6759927943495456
2,2.0759799919753776
3,2.026605079525807
4,1.9897432020844006
5,1.9550867974953574
6,1.9246542808657787
7,1.9025999875928534
8,1.886665524342021
9,1.8738757724449284
10,1.8630502944696143
11,1.853619132120101
12,1.8452558873911373
13,1.8377648950795658
14,1.831023964803727
15,1.8249445355524783
16,1.8194471390520939
17,1.8144519443199283
18,1.8098800834280544
19,1.8056592797451332
20,1.8017343064605214
21,1.7980687250856493
22,1.794628701131852
23,1.7913730058513704
24,1.7882601103235465
25,1.7852532433681803
26,1.7823201464043288
27,1.7794304544417585
28,1.7765542127265306
29,1.773661919265497
30,1.770724907546747
31,1.7677165272196786
32,1.7646137925445058
33,1.7614052469222272
34,1.7581101114241804
35,1.7548101081222784
36,1.7516503956278817
37,1.7487438564613216
38,1.7460848423692048
39,1.7436100568927702
40,1.7412706118724384
41,1.739038468657947
42,1.7368974504314485
43,1.734836748467117
44,1.732848915975602
45,1.73092788446145
46,1.7290686435386784
47,1.7272664779913232
48,1.7255167801653752
49,1.723815082487513
50,1.7221568698570378
51,1.720537872314453
52,1.718954107565958
53,1.7174018384589524
54,1.7158781258004612
55,1.7143799453485207
56,1.7129045605268636
57,1.7114493948514344
58,1.710012427158043
59,1.7085937600057632
60,1.7071958448066087
61,1.7058196571225026
62,1.7044630882388256
63,1.7031235466628778
64,1.701799198838531
65,1.7004885864257813
66,1.699190761378554
67,1.697904845691118
68,1.6966301914902986
69,1.6953655805744108
70,1.694109812251857
71,1.6928610404593045
72,1.6916173766089266
73,1.6903764343261718
74,1.689135607109695
75,1.687892008296779
76,1.6866419832823707
77,1.6853812546026512
78,1.6841045242059425
79,1.6828048105708888
80,1.681473521248239
81,1.680099439777312
82,1.6786676775822875
83,1.677158660888672
84,1.675545331611008
85,1.6737905008284772
86,1.6718447225601947
87,1.6696513266641586
88,1.6671750778448386
89,1.6644730114545978
90,1.6617318500456264
91,1.659126021588435
92,1.6566971125368213
93,1.6544259393410605
94,1.6522884331374872
95,1.6502605550797258
96,1.6483206251801037
97,1.6464532445688718
98,1.6446538256035474
99,1.642922290739466
100,1.64125241138896
101,1.6396350923131724
102,1.6380626891089267
103,1.636529318387391
104,1.635030665163134
105,1.633563304963659
106,1.632124246065734
107,1.630710876965132
108,1.6293205711489818
109,1.6279510272917201
110,1.6266000491282977
111,1.625265507932569
112,1.6239455226210295
113,1.6226383571937435
114,1.621342760930296
115,1.6200581209776832
116,1.6187838219814614
117,1.6175196012903432
118,1.616264530869781
119,1.6150176451636142
120,1.613777460817431
121,1.6125426395603868
122,1.6113119206663038
123,1.6100858844694546
124,1.6088663270043546
125,1.6076547716484695
126,1.6064509832663614
127,1.6052541338811155
128,1.604062870213243
129,1.6028761416575947
130,1.6016925173900165
131,1.6005107341828892
132,1.5993295213042713
133,1.5981479307080877
134,1.596965507132108
135,1.5957827708760246
136,1.5946002147236809
137,1.59341790871542
138,1.5922357427878457
139,1.591053376745005
140,1.5898702852843238
141,1.5886858005211002
142,1.5874993821441152
143,1.5863112502801613
144,1.585122365482518
145,1.583933735831839
146,1.582745806584593
147,1.5815592081038679
148,1.580375141081263
149,1.579195026335169
150,1.5780199369837027
151,1.576850838583024
152,1.575688268942911
153,1.5745325407434683
154,1.5733841667800652
155,1.5722435222688267
156,1.5711108198322234
157,1.5699861545250064
158,1.568869571373111
159,1.5677607877137232
160,1.5666597635237898
161,1.5655662061347337
162,1.5644797653448388
163,1.563400286064773
164,1.562327410588499
165,1.5612609187892226
166,1.5602006680848168
167,1.5591464058297582
168,1.55809817454854
169,1.5570559867483669
