index,PG
0,17.558481216430664
1,18.90508460998535
2,18.03201675415039
3,17.664953231811523
4,16.947898864746094
5,17.181921005249023
6,17.118440628051758
7,16.592586517333984
8,15.776822090148926
9,16.32125473022461
10,16.777647018432617
11,16.91139793395996
12,16.364900588989258
13,17.039140701293945
14,16.7785587310791
15,15.919814109802246
16,16.44221305847168
17,17.286865234375
18,17.09348487854004
19,16.78254508972168
20,17.003345489501953
21,16.711313247680664
22,15.877774238586426
23,17.280502319335938
24,16.46352767944336
25,16.91015625
26,16.54075050354004
27,15.947961807250977
28,16.76326560974121
29,16.6718807220459
30,17.065481185913086
31,16.157045364379883
32,16.470998764038086
33,16.243328094482422
34,16.9117374420166
35,16.085323333740234
36,16.68347930908203
37,17.055583953857422
38,16.29602813720703
39,16.367462158203125
40,16.416950225830078
41,15.95805549621582
42,15.900667190551758
43,16.344341278076172
44,16.146343231201172
45,15.75031566619873
46,16.876819610595703
47,16.31986427307129
48,15.814799308776855
49,16.31609344482422
50,16.020145416259766
51,15.644842147827148
52,16.4610595703125
53,16.242979049682617
54,15.909429550170898
55,16.452627182006836
56,15.583086013793945
57,16.749849319458008
58,15.536128997802734
59,15.330314636230469
60,15.284503936767578
61,15.253508567810059
62,15.410921096801758
63,16.38482093811035
64,15.60827922821045
65,15.518202781677246
66,16.548381805419922
67,14.596773147583008
68,15.625100135803223
69,15.850504875183105
70,15.520660400390625
71,15.785855293273926
72,15.936921119689941
73,16.113874435424805
74,15.809676170349121
75,15.848170280456543
76,15.31458568572998
77,15.705026626586914
78,15.993644714355469
79,16.11558723449707
80,15.861364364624023
81,15.332924842834473
82,15.94816780090332
83,15.557695388793945
84,16.097333908081055
85,15.708910942077637
86,14.967854499816895
87,16.22882080078125
88,15.3480863571167
89,15.861794471740723
90,15.880983352661133
91,16.019569396972656
92,14.914314270019531
93,15.067059516906738
94,15.892001152038574
95,15.95068645477295
96,15.554436683654785
97,16.50519371032715
98,15.509865760803223
99,14.877669334411621
100,16.096860885620117
101,15.927322387695312
102,15.792535781860352
103,15.440506935119629
104,15.875931739807129
105,15.513245582580566
106,15.921529769897461
107,16.342483520507812
108,16.358963012695312
109,15.555889129638672
110,15.419864654541016
111,15.57870864868164
112,15.607538223266602
113,15.922815322875977
114,15.788551330566406
115,15.76779842376709
116,15.356551170349121
117,15.543190956115723
118,16.586708068847656
119,15.821673393249512
120,16.403972625732422
121,15.870591163635254
122,15.761244773864746
123,15.035238265991211
124,15.488181114196777
125,16.45494842529297
126,15.499308586120605
127,15.835211753845215
128,15.272216796875
129,15.88331413269043
130,15.70920467376709
131,15.894309997558594
132,15.964715957641602
133,15.5753755569458
134,15.542495727539062
135,16.174331665039062
136,15.912589073181152
137,15.308821678161621
138,15.768061637878418
139,15.414941787719727
