index,dis_losses
0,1.7501777922811588
1,1.537145358471831
2,1.396419166533415
3,1.3221200556794475
4,1.2740819089668842
5,1.2183126664358723
6,1.1656268243947305
7,1.108815597108573
8,1.0780050005794557
9,1.0369120614587768
10,1.0082814383112695
11,0.9734609925057277
12,0.946535644452434
13,0.9275476563075358
14,0.8933538853629561
15,0.8722451777497598
16,0.8585564228128796
17,0.8298583828713283
18,0.8171404270101185
19,0.8062865275981997
20,0.799313315182678
21,0.7869968547308741
22,0.7864600158919973
23,0.7729263586446273
24,0.7566489685665477
25,0.7501568843510525
26,0.744052252493614
27,0.7354226373443918
28,0.7298562024250503
29,0.7255914625057505
30,0.7215212480095793
31,0.7137801248179979
32,0.7131985273242982
33,0.711228827307047
34,0.7080943953892416
35,0.7030204145376348
36,0.6992690430199804
37,0.6964792348136587
38,0.6964425011114641
39,0.6940852984909184
40,0.6930191108017913
41,0.6895534829659895
42,0.687252209206258
43,0.6879790070628332
44,0.6855808560513268
45,0.6866995761217165
46,0.6873343168211378
47,0.683700027052036
48,0.680241844378227
49,0.6802271151345624
50,0.6795434961634234
51,0.6781603014173586
52,0.6780197457833723
53,0.6772971118777251
54,0.6745755105964408
55,0.6760007517396911
56,0.6733785606612844
57,0.6717434313671649
58,0.6727842496446341
59,0.6691437407958606
60,0.6683078496909338
61,0.6668316583988095
62,0.6644272878150309
63,0.6637208683431641
64,0.6656314528678074
65,0.6643774829620173
66,0.6597587037677607
67,0.6589910599811017
68,0.6582266934647047
69,0.6559910769304953
70,0.6554685510879705
71,0.6516374418558168
72,0.6532211609123167
73,0.652759465304288
74,0.6473438675738563
75,0.6495255763865699
76,0.6493598877891036
77,0.6457976905767583
78,0.6428172223824115
79,0.6445638581740954
80,0.6405685071117622
81,0.6392145994280981
82,0.6378812863807047
83,0.6366698544872694
84,0.6354673327493273
85,0.6332794152015497
86,0.6340687132078754
87,0.630065362808133
88,0.6292913472356875
89,0.6289730431619754
90,0.6266947536429098
91,0.6274867609512708
92,0.6224646198848063
93,0.6231050195772786
94,0.6193590366150722
95,0.6235038229256622
96,0.622431612704411
97,0.6188043912580191
98,0.6183220379608722
99,0.6160045497673602
100,0.6160548969733813
101,0.6121625924898573
102,0.6099407411803884
103,0.6112012444448865
104,0.6077974571669398
105,0.6093182135219416
106,0.6057476874225396
107,0.6054837422922623
108,0.6024836932332063
109,0.6001778363196317
110,0.6034611453694746
111,0.5996024106159683
112,0.598776145907473
113,0.5975069157348192
114,0.5953514955260537
115,0.5951305110592487
116,0.5937980625255048
117,0.5915897611744148
118,0.591886200688102
119,0.5909820174382738
120,0.5934766176318335
121,0.5889229744919076
122,0.5892715626511692
